lemma,translit,gloss
Φορτουνᾶτος,for-too-nat'-os,Fortunatus
Φοῖνιξ,foy'-nix,Phenice
Φρυγία,froog-ee'-ah,Phrygia
Φόρον,for'-on,forum
Φύγελλος,foog'-el-los,Phygellus
Φῆλιξ,fay'-lix,Felix
Φῆστος,face'-tos,Festus
Χίος,khee'-os,Chios
Χαλδαῖος,khal-dah'-yos,Chaldæan
Χαναάν,khan-ah-an',Chanaan
Χανααναῖος,khan-ah-an-ah'-yos,of Canaan
Χαῤῥάν,khar-hran',Charran
Χλόη,khlo'-ay,Chloe
Χοραζίν,khor-ad-zin',Chorazin
Χουζᾶς,khood-zas',Chuza
Χριστιανός,khris-tee-an-os',Christian
Χριστός,khris-tos',Christ
Ω,o'-meg-ah,Omega
αἰγιαλός,ahee-ghee-al-os',shore
αἰδώς,ahee-doce',"reverence, shamefacedness"
αἰνέω,ahee-neh'-o,praise
αἰσθάνομαι,ahee-sthan'-om-ahee,perceive
αἰσθητήριον,ahee-sthay-tay'-ree-on,senses
αἰσχροκερδής,ahee-skhrok-er-dace',given to (greedy of) filthy lucre
αἰσχροκερδῶς,ahee-skhrok-er-doce',for filthy lucre's sake
αἰσχρολογία,ahee-skhrol-og-ee'-ah,filthy communication
αἰσχρόν,ahee-skhron',shame
αἰσχρός,ahee-skhros',filthy
αἰσχρότης,ahee-skhrot'-ace,filthiness
αἰσχύνη,ahee-skhoo'-nay,"dishonesty, shame"
αἰσχύνομαι,ahee-skhoo'-nom-ahee,be ashamed
αἰτέω,ahee-teh'-o,"ask, beg, call for, crave, desire, require"
αἰτία,ahee-tee'-a,"accusation, case, cause, crime, fault, (wh-)ere(-fore)"
αἰτίαμα,ahee-tee'-am-ah,complaint
αἰφνίδιος,aheef-nid'-ee-os,"sudden, unawares"
αἰχμάλωτος,aheekh-mal-o-tos',captive
αἰχμαλωσία,aheekh-mal-o-see'-ah,captivity
αἰχμαλωτίζω,aheekh-mal-o-tid'-zo,"lead away captive, bring into captivity"
αἰχμαλωτεύω,aheekh-mal-o-tew'-o,lead captive
αἰών,ahee-ohn',"age, course, eternal, (for) ever(-more), (n-)ever, (beginning of the, while the) world (began, without end)"
αἰώνιος,ahee-o'-nee-os,"eternal, for ever, everlasting, world (began)"
αἱματεκχυσία,hahee-mat-ek-khoo-see'-ah,shedding of blood
αἱμοῤῥέω,hahee-mor-hreh'-o,diseased with an issue of blood
αἱρέομαι,hahee-reh'-om-ahee,choose
αἱρετίζω,hahee-ret-id'-zo,choose
αἱρετικός,hahee-ret-ee-kos',heretic (the Greek word itself)
αἴγειος,ah'-ee-ghi-os,goat
αἴνεσις,ah'-ee-nes-is,praise
αἴνιγμα,ah'-ee-nig-ma,X darkly
αἴρω,ah'-ee-ro,"away with, bear (up), carry, lift up, loose, make to doubt, put away, remove, take (away, up)"
αἴσθησις,ah'-ee-sthay-sis,judgment
αἴτημα,ah'-ee-tay-mah,"petition, request, required"
αἴτιον,ah'-ee-tee-on,"cause, fault"
αἴτιος,ah'-ee-tee-os,author
αἵρεσις,hah'-ee-res-is,"heresy (which is the Greek word itself), sect"
αἶνος,ah'-ee-nos,praise
αἷμα,hah'-ee-mah,blood
