strong,lemma,translit,gloss
H296,אֲחִיקָם,akh-ee-kawm',Ahikam
H297,אֲחִירָם,akh-ee-rawm',Ahiram
H298,אֲחִירָמִי,akh-ee-raw-mee',Ahiramites
H299,אֲחִירַע,akh-ee-rah',Ahira
H300,אֲחִישַׁ֫חַר,akh-ee-shakh'-ar,Ahishar
H301,אֲחִישָׁר,akh-ee-shawr',Ahishar
H302,אֲחִיתֹ֫פֶל,akh-ee-tho'-fel,Ahithophel
H303,אַחְלָב,akh-lawb',Ahlab
H304,אַחְלָי,akh-lah'ee,Ahlai
H305,אַחֲלַי,akh-al-ah'ee,"O that, would God"
H306,אַחְלָ֫מָה,akh-law'-maw,amethyst
H307,NONE,akh-me-thaw',Achmetha
H308,NONE,akh-as-bah'ee,Ahasbai
H309,אָחַר,aw-khar',"continue, defer, delay, hinder, be late (slack), stay (there), tarry (longer)"
H310,אַחַר,akh-ar',"after (that, -ward), again, at, away from, back (from, -side), behind, beside, by, follow (after, -ing), forasmuch, from, hereafter, hinder end, + out (over) live, + persecute, posterity, pursuing, remnant, seeing, since, thence(-forth), when, with"
H311,אַחֲרֵי,akh-ar',(here-)after
H312,אַחֵר,akh-air',"(an-)other man, following, next, strange"
H313,אַחֵר,akh-air',Aher
H314,אַחֲרוֹן,akh-ar-one',"after (-ward), to come, following, hind(-er, -ermost, -most), last, latter, rereward, ut(ter)most"
H315,אַחְרַח,akh-rakh',Aharah
H316,אֲחַרְחֵל,akh-ar-kale',behind (the) intrenchment (i
H317,אָחֳרִי,okh-or-ee',(an-)other
H318,אָחֳרֵין,okh-or-ane',at last
H319,אַחֲרִית,akh-ar-eeth',"(last, latter) end (time), hinder (utter) -most, length, posterity, remnant, residue, reward"
H320,אַחֲרִית,akh-ar-eeth',latter
H321,אָחֳרָן,okh-or-awn',(an-)other
H322,אֲחֹרַנִּית,akh-o-ran-neeth',"back (-ward, again)"
H323,אֲחַשְׁדַּרְפְּנִים,akh-ash-dar-pan',lieutenant
H324,אֲחַשְׁדַּרְפְּנַיָּא,akh-ash-dar-pan',prince
H325,אֲחַשְׁוֵרוֹשׁ,akh-ash-vay-rosh',Ahasuerus
H326,אֲחַשְׁתָּרִי,akh-ash-taw-ree',Haakashtari (includ
H327,אֲחַשְׁתְּרָנִים,akh-ash-taw-rawn',camel
H328,אּטִּים,at,"charmer, gently, secret, softly"
H329,אָטָד,aw-tawd',"Atad, bramble, thorn"
H330,אֵטוּן,ay-toon',fine linen
H331,אָטַם,aw-tam',"narrow, shut, stop"
H332,אָטַר,aw-tar',shut
H333,אָטֵר,aw-tare',Ater
H334,אּטֵּר,it-tare',+ left-handed
H335,אַי,ah'ee,"how, what, whence, where, whether, which (way)"
H336,אּי,ee,island (Job 22:30)
H337,אּי,ee,woe
H338,אּיִּים,ee,"a howler (used only in the plural), i"
H339,אּי,ee,"country, isle, island"
H340,אָיַב,aw-yab',be an enemy
H341,אוֹיֵב,o-yabe',"enemy, foe"
H342,אֵיבָה,ay-baw',"emnity, hatred"
H343,אֵיד,ade,"calamity, destruction"
H344,אַיָּה,ah-yaw',"kite, vulture"
H345,אַיָּה,ah-yaw',"Aiah, Ajah"
H346,אַיֵּה,ah-yay',where
H347,אּיּוֹב,ee-yobe',Job
H348,אּיזָ֫בֶל,ee-zeh'-bel,Jezebel
H349,NONE,ake,"how, what"
H350,אּי־כָּבוֹד,ee-kaw-bode',I-chabod
H351,NONE,ay-ko,where
H352,אָ֫יִל,ah'-yil,"mighty (man), lintel, oak, post, ram, tree"
H353,אֱיָל,eh-yawl',strength
H354,אַיָּל,ah-yawl',hart
H355,אַיָּלָה,ah-yaw-law',hind
H356,אֵילוֹן,ay-lone',Elon
H357,אַיָּלוֹן,ah-yaw-lone',"Aijalon, Ajalon"
H358,אֵילוֹן בֵּית חָנָן,ay-lone' bayth-chaw-nawn',Elon-beth-hanan
H359,אֵילוֹת,ay-loth',"Elath, Eloth"
H360,אֱיָלוּת,eh-yaw-looth',strength
H361,אֵילַמִּים,ay-lawm',arch
H362,אֵילִם,ay-leem',Elim
H363,אּילָן,ee-lawn',tree
H364,אֵיל פָּארָן,ale paw-rawn',El-paran
H365,אַיֶּ֫לֶת,ah-yeh'-leth,"hind, Aijeleth"
H366,אָיֹם,aw-yome',terrible
H367,אֵימִים,ay-maw',"dread, fear, horror, idol, terrible, terror"
H368,אֵימִים,ay-meem',Emims
H369,אַ֫יִן,ah'-yin,"else, except, fail, (father-)less, be gone, in(-curable), neither, never, no (where), none, nor, (any, thing), not, nothing, to nought, past, un(-searchable), well-nigh, without"
H370,מֵאַ֫יִן,ah-yin',"whence, where"
H371,אּין,een,not
H372,אּיעֶ֫זֶר,ee-eh'-zer,Jeezer
H373,אּיעֶזְרִי,ee-ez-ree',Jezerite
